   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1770      1754   109.597   109.625  0.0149960.00906226
     2      16      3550      3534   110.415    111.25  0.0107740.00902672
     3      16      5323      5307   110.543   110.812     0.0140.00902637
     4      16      7083      7067   110.404       110  0.0143060.00904029
     5      16      8205      8189   102.347    70.125  0.0018120.00900785
     6      16      8205      8189   85.2897         0         -0.00900785
     7      16      8205      8189   73.1061         0         -0.00900785
     8      16      8224      8208   64.1165  0.395833  0.004754 0.0139454
     9      16      9997      9981   69.3035   110.812  0.002832 0.0144151
    10      16     11771     11755   73.4593   110.875  0.017259 0.0136017
    11      16     13545     13529   76.8595   110.875  0.009767 0.0130034
    12      16     15306     15290   79.6253   110.062  0.017692 0.0125489
 Total time run:        12.256748
Total reads made:     15743
Read size:            65536
Bandwidth (MB/sec):    80.277 

Average Latency:       0.0124522
Max latency:           3.40386
Min latency:           0.001812
