   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1748      1732   108.221    108.25  0.0050430.00918071
     2      16      3373      3357   104.884   101.562  0.0022680.00898241
     3      16      4638      4622   96.2746   79.0625  0.002667 0.0103558
     4      16      5803      5787   90.4073   72.8125  0.007111   0.01104
     5      16      7553      7537   94.1978   109.375  0.014206 0.0106012
     6      16      9269      9253    96.371    107.25  0.006513 0.0103639
     7      16     10992     10976   97.9858   107.688  0.011625 0.0101948
     8      16     12748     12732   99.4547    109.75  0.005988 0.0100456
     9      16     14479     14463   100.424   108.188  0.0102360.00995003
    10      16     16248     16232   101.436   110.562   0.002170.00984048
    11      15     17995     17980   102.145    109.25   0.01033  0.009783
    12      16     19776     19760   102.903    111.25  0.0060610.00971024
    13      16     21537     21521   103.453   110.062  0.0049880.00965915
    14      15     23313     23298   103.995   111.062  0.0032650.00960986
    15      16     25095     25079   104.482   111.312  0.0040120.00956521
    16      16     26871     26855   104.889       111  0.0155520.00952878
    17      16     28647     28631   105.247       111  0.0048170.00949567
    18      16     30429     30413   105.587   111.375   0.005080.00946517
    19      16     32205     32189   105.871       111  0.0045140.00944066
2014-11-25 00:52:59.796067min lat: 0.001762 max lat: 0.439648 avg lat: 0.00941741
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     33984     33968   106.137   111.188  0.0181570.00941741
    21      16     35734     35718    106.29   109.375  0.0026430.00940395
 Total time run:        21.737571
Total reads made:     37017
Read size:            65536
Bandwidth (MB/sec):    106.432 

Average Latency:       0.00939357
Max latency:           0.439648
Min latency:           0.001762
