   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      4238      4222   16.4875   16.4922  0.001587 0.0037796
     2      15      9518      9503   18.5565   20.6289    0.00150.00336321
     3      16     14810     14794   19.2594    20.668  0.0014820.00309297
     4      15     20713     20698   20.2095   23.0625  0.0022440.00308955
     5      15     26345     26330    20.567        22    0.0026 0.0030358
     6      16     31958     31942   20.7924   21.9219  0.0014260.00300247
     7      16     38359     38343   21.3936   25.0039  0.0014770.00291892
     8      16     44934     44918   21.9294   25.6836   0.003220.00284751
     9      15     51299     51284   22.2555   24.8672  0.0018270.00280609
    10      15     57622     57607   22.4996   24.6992  0.0026330.00277568
    11      16     64038     64022   22.7319   25.0586  0.001747 0.0027474
    12      15     70804     70789   23.0401   26.4336  0.0020330.00271065
    13      16     77496     77480   23.2781   26.1367  0.0026450.00268301
    14      16     84238     84222   23.4963   26.3359  0.0019570.00265791
    15      15     91041     91026   23.7015   26.5781  0.0097210.00263489
    16      16     97737     97721   23.8545   26.1523   0.002020.00261816
    17      15    103831    103816   23.8516   23.8086   0.00261 0.0026185
    18      15    110547    110532   23.9838   26.2344  0.0025190.00260408
    19      15    116939    116924   24.0355   24.9688  0.0018960.00259848
2014-11-26 01:12:15.786261min lat: 0.000997 max lat: 0.339513 avg lat: 0.00258232
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      15    123860    123845   24.1853   27.0352  0.0026050.00258232
    21      16    130507    130491   24.2697   25.9609  0.0020870.00257337
    22      16    136816    136800   24.2866   24.6445  0.0022290.00257155
    23      15    143175    143160   24.3106   24.8438   0.002240.00256908
    24      16    149503    149487   24.3274   24.7148  0.0018020.00256714
    25      15    155963    155948   24.3637   25.2383  0.0020420.00256343
 Total time run:        25.869070
Total reads made:     161284
Read size:            4096
Bandwidth (MB/sec):    24.354 

Average Latency:       0.00256458
Max latency:           0.339513
Min latency:           0.000997
