   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      3515      3499   109.316   109.344  0.0066960.00455771
     2      16      7061      7045   110.055   110.812  0.0022540.00453359
     3      16     10607     10591   110.303   110.812  0.0019460.00452569
     4      16     14148     14132   110.388   110.656  0.0079840.00452453
     5      16     17694     17678    110.47   110.812  0.0085250.00452152
     6      16     21217     21201   110.405   110.094  0.0034380.00452535
     7      16     24760     24744   110.448   110.719  0.0039410.00452352
     8      16     28294     28278   110.445   110.438   0.008890.00452379
     9      16     31819     31803   110.411   110.156   0.002040.00452497
    10      15     35368     35353   110.463   110.938  0.002527 0.0045233
    11      16     38915     38899   110.493   110.812  0.0086950.00452233
    12      16     42459     42443   110.514    110.75  0.0056290.00452175
    13      16     45999     45983   110.521   110.625  0.0023820.00452145
 Total time run:        13.799531
Total reads made:     48809
Read size:            32768
Bandwidth (MB/sec):    110.531 

Average Latency:       0.00452183
Max latency:           0.032766
Min latency:           0.001475
