   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       303       287   2.24159   2.24219  0.001144 0.0197371
     2      16      2310      2294   8.95905   15.6797  0.002102 0.0139288
     3      16      7508      7492   19.5068   40.6094  0.0015840.00640223
     4      16     11168     11152   21.7776   28.5938  0.0033330.00573494
     5      15     16580     16565   25.8787   42.2891  0.0026850.00482659
     6      16     21893     21877   28.4814      41.5  0.002395 0.0043858
     7      15     27232     27217   30.3716   41.7188  0.0040020.00411297
     8      16     32640     32624   31.8548   42.2422   0.001720.00392152
     9      15     38022     38007   32.9875   42.0547  0.0041530.00378689
    10      15     43577     43562   34.0281   43.3984  0.0023780.00367109
    11      16     48930     48914   34.7353   41.8125  0.0022410.00359647
    12      16     54058     54042   35.1788   40.0625  0.0014790.00355102
    13      15     59545     59530   35.7704    42.875  0.0047920.00349219
    14      15     65015     65000   36.2675   42.7344  0.003517 0.0034446
    15      15     70341     70326   36.6233   41.6094   0.001670.00341091
    16      16     75695     75679   36.9478   41.8203  0.0031770.00338123
 Total time run:        16.333628
Total reads made:     76978
Read size:            8192
Bandwidth (MB/sec):    36.819 

Average Latency:       0.00339327
Max latency:           1.5527
Min latency:           0.001
