   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      5051      5035   39.3255   39.3359  0.0042210.00317082
     2      16     10553     10537   41.1512   42.9844  0.0018890.00303345
     3      16     16060     16044   41.7735   43.0234  0.0019120.00298844
     4      16     21440     21424   41.8368   42.0312  0.0022920.00298397
     5      15     26389     26374   41.2029   38.6719  0.0021790.00303114
     6      15     31730     31715   41.2893   41.7266  0.0030950.00302499
     7      16     37162     37146   41.4515   42.4297  0.0041860.00301291
     8      16     42598     42582    41.578   42.4688   0.003160.00300417
     9      15     48036     48021    41.679   42.4922  0.002975  0.002997
    10      15     53490     53475   41.7715   42.6094  0.0033720.00299035
    11      15     58712     58697   41.6825   40.7969  0.0031090.00299685
    12      15     64171     64156   41.7625   42.6484  0.0032060.00299108
    13      16     69534     69518    41.772   41.8906  0.0032770.00299027
    14      16     74970     74954   41.8214   42.4688  0.0020130.00298701
 Total time run:        14.154983
Total reads made:     75760
Read size:            8192
Bandwidth (MB/sec):    41.814 

Average Latency:       0.00298745
Max latency:           0.057266
Min latency:           0.001013
